# chirp_mass mass_ratio spin_1z spin_2z coalescence_time coalescence_phase luminosity_distance inclination longitude latitude psi
5.693308271366062108e+05 7.557844264209866436e-01 3.732248949882245592e-02 8.033836763753341437e-01 3.081932244688956857e+01 2.944839870152502925e+00 1.140916293426410448e+04 1.908516929380292382e+00 3.781475824907249539e+00 9.628855765866500827e-01 2.293618211758456038e+00
5.693554956068583997e+05 7.567693071419193673e-01 3.454712543051598195e-02 8.066320386810185150e-01 3.081932261206131685e+01 2.944745445665444272e+00 1.137388821853015725e+04 1.909098304060238283e+00 3.795809466255638309e+00 9.690854566745613630e-01 2.303452342651649776e+00
5.693430411052183481e+05 7.532950417305582791e-01 4.809112548867781195e-02 7.904929280480034182e-01 3.081932266042560542e+01 4.515693676178633709e+00 1.139558003395944252e+04 1.908313720619529530e+00 3.791286081704502209e+00 9.643120335267516552e-01 7.295031126518061182e-01
5.693978683955910383e+05 7.569819152646920513e-01 4.205044323593001149e-02 7.964581817727173219e-01 3.081932388234199749e+01 1.368733849111988032e+00 1.141646310873673428e+04 1.908993598482455534e+00 3.777409685130158401e+00 9.642392256571781228e-01 7.197743881629787843e-01
5.693261669170972891e+05 7.553098603340985262e-01 3.900605982665542038e-02 8.014872152395101645e-01 3.081932256074166787e+01 4.515313694643224629e+00 1.138158681996308223e+04 1.909034347347331906e+00 3.777183155344697951e+00 9.706098909946715425e-01 7.202482534196025243e-01
5.694170906595517881e+05 7.503070378131773133e-01 7.079529062781088344e-02 7.615111436273540590e-01 3.081932405553866516e+01 1.369612024969003805e+00 1.139530407735192603e+04 1.908461495797560525e+00 3.810283895977919055e+00 9.612462803672449096e-01 7.421663357302418218e-01
5.693409445601960178e+05 7.609025049749488234e-01 7.832773013531989237e-03 8.404746508095892743e-01 3.081932212693506301e+01 2.947153809796426938e+00 1.135712665159105563e+04 1.909583834434798622e+00 3.793687486640696438e+00 9.758685057765398296e-01 2.302187384721081198e+00
5.693256853608710226e+05 7.592550372658717350e-01 1.086797939627386078e-02 8.377456772105584815e-01 3.081932171985810243e+01 4.519351241955311238e+00 1.134549448141808716e+04 1.909182358112311517e+00 3.797976160971734849e+00 9.763531870002809532e-01 7.349108542318545378e-01
5.694082627904093824e+05 7.529597508209727730e-01 5.783958852826699693e-02 7.776069690617759544e-01 3.081932373994087015e+01 2.940361805564039255e+00 1.140512402239312541e+04 1.908446537943127685e+00 3.791715474929565843e+00 9.633379684485259276e-01 2.300821812538143440e+00
5.693709300518420059e+05 7.609129580753941635e-01 1.487429497046343502e-02 8.308265975302409068e-01 3.081932307001434879e+01 2.944125576486074092e+00 1.137112780106832724e+04 1.908686302537260016e+00 3.811799744301965998e+00 9.680215182847401456e-01 2.314158363702897514e+00
5.693905616822486045e+05 7.547668891331605900e-01 4.176205739027052249e-02 7.988509669258857526e-01 3.081932261118648242e+01 4.514834786807235822e+00 1.139785362793839704e+04 1.909099490373721286e+00 3.780851359764589859e+00 9.676134268946692263e-01 7.227804436408510336e-01
